date,SONIA,5Y
2000-08-29,6.7793,5.8008
2000-08-30,5.7057,5.7884
2000-08-31,5.6946,5.7856
2000-09-01,5.7317,5.7071
2000-09-04,5.7728,5.7167
2000-09-05,5.8285,5.7421
2000-09-06,5.5902,5.7359
2000-09-07,6.4061,5.7085
2000-09-08,6.4372,5.7478
2000-09-11,6.3456,5.7519
2000-09-12,6.6734,5.8073
2000-09-13,6.6507,5.8049
2000-09-14,6.6845,5.7761
2000-09-15,5.8551,5.7975
2000-09-18,5.7532,5.7979
2000-09-19,6.1462,5.7678
2000-09-20,6.0441,5.777
2000-09-21,6.0071,5.7485
2000-09-22,5.7305,5.7045
2000-09-25,5.7511,5.7594
2000-09-26,6.2992,5.7497
2000-09-27,6.5419,5.7466
2000-09-28,6.2138,5.7259
2000-09-29,6.1806,5.6255
2000-10-02,5.7862,5.62
2000-10-03,6.1583,5.6206
2000-10-04,5.9853,5.6262
2000-10-05,5.6515,5.6267
2000-10-06,6.0713,5.6131
2000-10-09,6.1413,5.5433
2000-10-10,6.4857,5.5681
2000-10-11,5.6243,5.5364
2000-10-12,5.4973,5.5081
2000-10-13,5.5305,5.502
2000-10-16,5.7227,5.5118
2000-10-17,5.5811,5.5294
2000-10-18,5.6645,5.5056
2000-10-19,5.5915,5.5226
2000-10-20,5.4647,5.5256
2000-10-23,5.9051,5.5321
2000-10-24,6.14,5.528
2000-10-25,5.8122,5.5477
2000-10-26,5.7414,5.5557
2000-10-27,5.6664,5.5922
2000-10-30,5.6881,5.5752
2000-10-31,5.9876,5.5672
2000-11-01,5.7099,5.5562
2000-11-02,5.9551,5.5268
2000-11-03,5.9764,5.5212
2000-11-06,5.6278,5.5196
2000-11-07,6.145,5.5378
2000-11-08,5.7274,5.5379
2000-11-09,6.0743,5.5299
2000-11-10,5.8131,5.5065
2000-11-13,6.2153,5.4641
2000-11-14,6.4767,5.4639
2000-11-15,5.7783,5.4259
2000-11-16,6.0051,5.3957
2000-11-17,6.2271,5.4123
2000-11-20,6.4222,5.4113
2000-11-21,6.0442,5.4057
2000-11-22,5.6807,5.3133
2000-11-23,6.4158,5.2866
2000-11-24,5.7856,5.2968
2000-11-27,5.6149,5.2798
2000-11-28,5.8959,5.2604
2000-11-29,5.6882,5.2633
2000-11-30,6.3055,5.238
2000-12-01,6.2636,5.2281
2000-12-04,5.6824,5.2092
2000-12-05,5.6708,5.2171
